sample_id,condition,replicate,assay,target,control,biosample_accession,experiment_accession,run_accession,fastq_1,fastq_2,read1_md5,read2_md5,source_study
SIRT6_KO_rep1_IgG_CUTRUN,SIRT6_KO,1,CUTRUN,IgG,true,HRS930230,HRX1058965,HRR1354849,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354849/HRR1354849_f1.fq.gz,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354849/HRR1354849_r2.fq.gz,c7b33daaf336cbf0596aa2323065c28f,dff9bb935d11de6c4e30ca5f0585424e,HRA005392
SIRT6_KO_rep2_IgG_CUTRUN,SIRT6_KO,2,CUTRUN,IgG,true,HRS930231,HRX1058966,HRR1354850,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354850/HRR1354850_f1.fq.gz,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354850/HRR1354850_r2.fq.gz,719722263a5b612b08808621fc3c44e7,bf54ddeea648e76e116943cc622f03f3,HRA005392
WT_rep1_IgG_CUTRUN,WT,1,CUTRUN,IgG,true,HRS930232,HRX1058967,HRR1354851,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354851/HRR1354851_f1.fq.gz,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354851/HRR1354851_r2.fq.gz,6e6e84687f5e3b07e1dcfa541cc9a26f,25c07cf1431ac5bdab7fe3a63f8dae39,HRA005392
WT_rep2_IgG_CUTRUN,WT,2,CUTRUN,IgG,true,HRS930233,HRX1058968,HRR1354852,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354852/HRR1354852_f1.fq.gz,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354852/HRR1354852_r2.fq.gz,4c66dd78832d5b6332903ef1177546bf,529d2736ff07fab07ca950a11c2b8368,HRA005392
SIRT6_KO_rep1_SIRT6_CUTRUN,SIRT6_KO,1,CUTRUN,SIRT6,false,HRS930242,HRX1058977,HRR1354861,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354861/HRR1354861_f1.fq.gz,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354861/HRR1354861_r2.fq.gz,2a8719d609924836fc1bee73e5dbaa2e,11005454ab9309e5085c872d80980bab,HRA005392
SIRT6_KO_rep2_SIRT6_CUTRUN,SIRT6_KO,2,CUTRUN,SIRT6,false,HRS930243,HRX1058978,HRR1354862,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354862/HRR1354862_f1.fq.gz,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354862/HRR1354862_r2.fq.gz,c09e6c40f7f2c1470136e446da8f5bda,c5e2b6fc23f9e2340f90908adadc52b0,HRA005392
WT_rep1_SIRT6_CUTRUN,WT,1,CUTRUN,SIRT6,false,HRS930244,HRX1058979,HRR1354863,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354863/HRR1354863_f1.fq.gz,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354863/HRR1354863_r2.fq.gz,967f1f4cc954ab05657c27bfe00e666b,5717926043243ec41c95769f542c88e0,HRA005392
WT_rep2_SIRT6_CUTRUN,WT,2,CUTRUN,SIRT6,false,HRS930245,HRX1058980,HRR1354864,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354864/HRR1354864_f1.fq.gz,ftp://download.big.ac.cn/gsa-human/HRA005392/HRR1354864/HRR1354864_r2.fq.gz,26f4d0fb73a0d86c82a0ee74acaa0b21,cc670a79fefc683712a5b7d3862c87cb,HRA005392
