sample_id,condition,replicate,assay,mark,fastq_1,fastq_2,run_accession,experiment_accession,gsa_sample_accession,read1_md5,read2_md5
WT_INPUT,WT,0,INPUT,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202673/HRR1202673_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202673/HRR1202673_r2.fq.gz,HRR1202673,HRX948945,HRS831663,47a56e69ffedcf43169abb3821459a91,6fd21406cd59f23d6e38da39dd1e58c4
SIRT1_INPUT,SIRT1,0,INPUT,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202666/HRR1202666_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202666/HRR1202666_r2.fq.gz,HRR1202666,HRX948938,HRS831656,a6515c102072fe66c7b7852f591f4e4e,cb12dcd9dc3e511f85a27024b33fa8e6
SIRT2_INPUT,SIRT2,0,INPUT,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202667/HRR1202667_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202667/HRR1202667_r2.fq.gz,HRR1202667,HRX948939,HRS831657,f13b4721cd650867cb4e9e9b9bee24e0,95a49c32d58d51807b068741f76e75b7
SIRT3_INPUT,SIRT3,0,INPUT,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202668/HRR1202668_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202668/HRR1202668_r2.fq.gz,HRR1202668,HRX948940,HRS831658,a897c4a9024de0271303dcf8b214e2d1,88a29d420aabc0eb54ca6dc4fac558d5
SIRT4_INPUT,SIRT4,0,INPUT,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202669/HRR1202669_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202669/HRR1202669_r2.fq.gz,HRR1202669,HRX948941,HRS831659,96c98dd29bdd84000a41d3765b0ccd39,5c3b4360c68c0e3066e17ddb52d98747
SIRT5_INPUT,SIRT5,0,INPUT,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202670/HRR1202670_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202670/HRR1202670_r2.fq.gz,HRR1202670,HRX948942,HRS831660,83d19ea54cc09621de0dcaf6666709bb,fb06ac6af98b2fb57a76b967ee3465d7
SIRT6_INPUT,SIRT6,0,INPUT,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202671/HRR1202671_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202671/HRR1202671_r2.fq.gz,HRR1202671,HRX948943,HRS831661,b7f8b237686ea990da5d59992d6a70e3,c37bb86083312dfe7c5794b57711a2a1
SIRT7_INPUT,SIRT7,0,INPUT,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202672/HRR1202672_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202672/HRR1202672_r2.fq.gz,HRR1202672,HRX948944,HRS831662,6e745cdff8332c377be8d171c5d96214,754971a8158629aa024b3a1988e2d758
