sample_id,condition,replicate,assay,mark,fastq_1,fastq_2,run_accession,experiment_accession,gsa_sample_accession,read1_md5,read2_md5
SIRT6_rep1_H3K9ac,SIRT6,1,CHIP,H3K9ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202644/HRR1202644_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202644/HRR1202644_r2.fq.gz,HRR1202644,HRX948916,HRS831634,5346d4d13ae18eeb3a480e7b86bc493b,097280fe0ec2dc3803ff6f694016545c
SIRT6_rep1_H3K56ac,SIRT6,1,CHIP,H3K56ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202628/HRR1202628_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202628/HRR1202628_r2.fq.gz,HRR1202628,HRX948900,HRS831618,f6f8aad0ba0d715fa5679f88dfb59d3a,67c4f4a14aa802976e05c4da9df1f846
SIRT6_rep1_WGBS,SIRT6,1,WGBS,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202750/HRR1202750_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202750/HRR1202750_r2.fq.gz,HRR1202750,HRX949022,HRS831740,c0241d5399639c14299d1080cbd0053b,01d3a30b1f8e622a5fef4b656674b9a1
SIRT6_rep2_H3K9ac,SIRT6,2,CHIP,H3K9ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202645/HRR1202645_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202645/HRR1202645_r2.fq.gz,HRR1202645,HRX948917,HRS831635,3b88dfd24291c05ae99829bf7647581d,6d96cec780a6521d795827dbddc0c419
SIRT6_rep2_H3K56ac,SIRT6,2,CHIP,H3K56ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202629/HRR1202629_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202629/HRR1202629_r2.fq.gz,HRR1202629,HRX948901,HRS831619,d553e2ea6edf6acf0270ce183bfe7409,0e33cec88082316e218a9304e3251862
SIRT6_rep2_WGBS,SIRT6,2,WGBS,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202751/HRR1202751_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202751/HRR1202751_r2.fq.gz,HRR1202751,HRX949023,HRS831741,317a9edbb409c41afa8624a10fd8c0b0,f11ce52b183b0ea1c485e3df9271d5d2
SIRT7_rep1_H3K9ac,SIRT7,1,CHIP,H3K9ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202646/HRR1202646_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202646/HRR1202646_r2.fq.gz,HRR1202646,HRX948918,HRS831636,11ac424e88bd369983719f3d34319912,f8cf5e697c9f907fd4e3267a72b0899d
SIRT7_rep1_H3K56ac,SIRT7,1,CHIP,H3K56ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202630/HRR1202630_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202630/HRR1202630_r2.fq.gz,HRR1202630,HRX948902,HRS831620,031fc2a162701a2f1b971b7d84fa93e9,a2e7ebd518fe7622241edda6b3fed965
SIRT7_rep1_WGBS,SIRT7,1,WGBS,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202752/HRR1202752_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202752/HRR1202752_r2.fq.gz,HRR1202752,HRX949024,HRS831742,dc90b7cf4bc3ebc58be437a62851a41f,f313f02508a30ed0aea3e99ee4d0cc4a
SIRT7_rep2_H3K9ac,SIRT7,2,CHIP,H3K9ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202647/HRR1202647_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202647/HRR1202647_r2.fq.gz,HRR1202647,HRX948919,HRS831637,4543fe1a535801fbe11576ddfa6027d1,b0d6e8bc42b6fc9946c1071ea35dc375
SIRT7_rep2_H3K56ac,SIRT7,2,CHIP,H3K56ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202631/HRR1202631_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202631/HRR1202631_r2.fq.gz,HRR1202631,HRX948903,HRS831621,b10e24ef2e243bbbc0393d15678be5e9,52d0262b65f471adec8ef441d0dde973
SIRT7_rep2_WGBS,SIRT7,2,WGBS,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202753/HRR1202753_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202753/HRR1202753_r2.fq.gz,HRR1202753,HRX949025,HRS831743,d233a592932cf03415ee2d5724775765,233df30d41a1ad03c82be35896037f38
